FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SOLD_PRODUCTS,Prodotti venduti,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-02,130.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-03,128.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-04,127.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-05,127.9,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-06,126.4,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-07,126.7,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-08,126.1,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-09,126.8,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-10,127.6,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-11,128.3,,
M,Mensile,IT,Italia,76,Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori (base 2020=100) - dati mensili,CROPUTE,Prodotti vegetali (esclusi frutta e ortaggi),2024-12,129.2,,
